model,valid,correct,accuracy,ci95_low,ci95_high,pred_x_rate,close_n,close_accuracy,nonclose_n,nonclose_accuracy,nonclose_minus_close_pp
google/gemini-3.7-flash,1142,910,0.7968476357267951,0.772535036721336,0.8191698582104646,0.5035026269702276,307,0.6612377850162866,835,0.8467065868263473,18.546880181006063
openai/gpt-5.6-sol,1142,876,0.7670753064798599,0.7416891274423997,0.7906707337794269,0.5035026269702276,201,0.6218905472636815,941,0.798087141339001,17.61965940753195
anthropic/claude-opus-4.8,1142,809,0.7084063047285464,0.681382573497439,0.7340326624723796,0.4816112084063047,858,0.6433566433566433,284,0.9049295774647887,26.157293410814543
qwen/qwen3.7-max,1142,808,0.7075306479859895,0.6804867485303104,0.7331830452715681,0.4912434325744308,155,0.5419354838709678,987,0.7335359675785208,19.1600483707553
qwen/qwen3.7-flash,1142,739,0.6471103327495622,0.6189436832704375,0.6742906009435524,0.43782837127845886,61,0.4426229508196721,1081,0.6586493987049029,21.60264478852308
deepseek/deepseek-v4-flash-0731,1142,725,0.6348511383537653,0.6065176934812005,0.6622804003816233,0.5096322241681261,731,0.5991792065663475,411,0.6982968369829684,9.911763041662091
