model,prompt_variant,attempted,valid,correct,accuracy,ci95_low,ci95_high,failure_rate
anthropic/claude-opus-4.8,concise,100,100,74,0.74,0.6462901055081282,0.8159530153525186,0.0
anthropic/claude-opus-4.8,paper_exact,100,100,75,0.75,0.656955364519384,0.8245478863771232,0.0
google/gemini-3.7-flash,concise,100,100,82,0.82,0.7333264161369926,0.8829977450105364,0.0
google/gemini-3.7-flash,paper_exact,100,100,79,0.79,0.7002003116591013,0.858343459380847,0.0
openai/gpt-5.6-sol,concise,100,100,80,0.8,0.7111708344068411,0.8666330666689676,0.0
openai/gpt-5.6-sol,paper_exact,100,100,73,0.73,0.6356788323205499,0.8073041585042365,0.0
