model,attempted,valid,correct,accuracy,ci95_low,ci95_high,p_vs_0.5,failures,pred_x_rate,close_call_reported,nonclose_reported,nonclose_coverage,nonclose_accuracy,close_accuracy,strict_format_rate
anthropic/claude-3-haiku,48,48,26,0.5416666666666666,0.40291074545649797,0.6742475770713254,0.6654658120766186,0,0.2708333333333333,1,47,0.9791666666666666,0.5531914893617021,0.0,1.0
google/gemma-2-27b-it,48,48,23,0.4791666666666667,0.34471316176951616,0.616707676966572,0.8854334972865132,0,0.3333333333333333,32,16,0.3333333333333333,0.625,0.40625,1.0
mistralai/mistral-large-2407,48,48,31,0.6458333333333334,0.504390570103431,0.7656635587439515,0.05946337525377032,0,0.3333333333333333,18,30,0.625,0.6666666666666666,0.6111111111111112,1.0
qwen/qwen-2.5-72b-instruct,48,48,26,0.5416666666666666,0.40291074545649797,0.6742475770713254,0.6654658120766186,0,0.3125,8,40,0.8333333333333334,0.525,0.625,1.0
