model,attempted,valid,correct,accuracy,ci95_low,ci95_high,p_vs_0.5,failures,pred_x_rate,close_call_reported,nonclose_reported,nonclose_coverage,nonclose_accuracy,close_accuracy,strict_format_rate
anthropic/claude-opus-4.8,48,48,28,0.5833333333333334,0.4428133228397628,0.7115033222158844,0.31232680747326924,0,0.3958333333333333,44,4,0.08333333333333333,1.0,0.5454545454545454,1.0
deepseek/deepseek-v4-flash-0731,48,28,18,0.6428571428571429,0.4583030651442781,0.7929417049226233,0.1849333420395851,20,0.5,14,14,0.5,0.7142857142857143,0.5714285714285714,1.0
google/gemini-3.7-flash,48,48,36,0.75,0.6121562719049204,0.8507936632620209,0.0007172696733945827,0,0.4375,27,21,0.4375,0.8095238095238095,0.7037037037037037,1.0
openai/gpt-5.6-sol,48,48,31,0.6458333333333334,0.504390570103431,0.7656635587439515,0.05946337525377032,0,0.4166666666666667,13,35,0.7291666666666666,0.6571428571428571,0.6153846153846154,1.0
qwen/qwen3.7-flash,48,48,31,0.6458333333333334,0.504390570103431,0.7656635587439515,0.05946337525377032,0,0.5416666666666666,3,45,0.9375,0.6666666666666666,0.3333333333333333,1.0
qwen/qwen3.7-max,48,48,32,0.6666666666666666,0.5254010970594798,0.7832321930518142,0.0293049467205293,0,0.4791666666666667,6,42,0.875,0.7142857142857143,0.3333333333333333,1.0
